Title	ISSN	eISSN	Documentation
Decision Analysis	1545-8490	1545-8504	http://pubsonline.informs.org/page/deca/submission-guidelines
Interfaces	0092-2102	1526-551X 	http://pubsonline.informs.org/page/inte/submission-guidelines
Information Systems Research 	1047-7047	1526-5536	http://pubsonline.informs.org/page/isre/instructions-for-authors
INFORMS Journal on Computing	1091-9856 	1526-5528	http://pubsonline.informs.org/page/ijoc/submission-guidelines
INFORMS Transactions on Education	x	1532-0545	http://pubsonline.informs.org/page/ited/submission-guidelines
Manufacturing & Service Operations Management	1523-4614	1526-5498	http://pubsonline.informs.org/page/msom/submission-guidelines
Management Science	0025-1909	1526-5501	http://pubsonline.informs.org/page/mnsc/submission-guidelines
Mathematics of Operations Research	0364-765X	1526-5471	http://pubsonline.informs.org/page/moor/submission-guidelines
Operations Research	0030-364X 	1526-5463	http://pubsonline.informs.org/page/opre/submission-guidelines
Organization Science	1047-7039	1526-5455	http://pubsonline.informs.org/page/orsc/submission-guidelines
Service Science	x	2164-3970	http://pubsonline.informs.org/page/serv/submission-guidelines
Strategy Science	2333-2050	2333-2077	http://pubsonline.informs.org/page/stsc/submission-guidelines
Transportation Science	0041-1655	1526-5447	http://pubsonline.informs.org/page/trsc/submission-guidelines
